문항번호,방어기제,문항내용
1,허세,일생에 한 번뿐인 혼수 마련인데 남 못지않게 장만하고 싶다.
2,반동형성,손님이 제발 가주었으면 하고 바라면서도 붙잡는 척할 때가 있다.
3,동일시,남의 좋은 행동을 보면 나도 그렇게 해보려고 한다.
4,수동공격,누가 나에게 일을 시키면 나는 바쁜 척할 때가 있다.
5,투사,다른 사람이 나를 어떻게 생각하는지 늘 관심이 많다.
6,전치,밖에서 기분 나쁜 일이 있을 때 집에 와서 화풀이하는 경우가 있다.
7,부정,모르는 게 약이라고 골치 아픈 일은 깊이 생각하지 않는 게 낫다.
8,통제,나는 주변에서 일어나는 일을 그냥 지나쳐 버리지 못하는 성격이다.
9,억제,한순간을 참으면 백날이 편하다고 나는 주로 참는다.
10,왜곡,나는 사람을 보면 그들의 인간성을 꿰뚫어 보는 능력이 있다.
11,예견,누울 자리 보고 발 뻗는다고 미리 상황을 예상해 보고 행동한다.
12,합리화,내가 누구에게 싫은 소리를 한 것은 순전히 그 사람을 위해서였다.
13,해리,힘든 일에 부딪히면 정신이 멍해질 때가 있다.
14,신체화,기분이 안 좋을 때 식사를 하면 체하거나 소화가 잘 안된다.
15,승화,나는 화가 나면 운동으로 화를 풀곤 한다.
16,행동화,홧김에 무슨 일을 저지르는 경향이 있다.
17,이타주의,나는 하나님을 섬기듯이 어려운 사람을 돕는다.
18,퇴행,늙은이가 아이 되듯 가끔 나 자신이 유치해지는 것을 느낀다.
19,유머,일이 잘 안되더라도 웃음으로 여유를 찾는다.
20,회피,나는 거절당할까봐 사랑한다고 말하지 못한 적이 있다.
21,허세,집은 비록 서푼짜리일 망정 겉모양은 그럴듯하게 꾸민다.
22,반동형성,나는 화가 나더라도 웃는 낯으로 대하려고 애쓴다.
23,동일시,친구 따라 강남 가듯 친구의 행동을 따라 하는 편이다.
24,수동공격,화가 날 때는 뚱하니 말을 하지 않는 편이다.
25,투사,가끔 이유 없이 어떤 사람이 몹시 미워질 때가 있다.
26,전치,누구를 야단치고 싶으나 막상 다른 사람을 야단치는 경우가 있다.
27,부정,나 자신이나 가족이 시험에 실패했을 때 사실로 받아들이기가 무척 힘들었다.
28,통제,일이 생기면 내가 앞장서서 사람들을 진두지휘한다.
29,억제,복잡한 일이 생기면 일단 머리를 식힌 다음 다시 생각해 본다.
30,왜곡,지금 내가 하고 있는 일은 역사적으로 대단히 중요한 일이다.
31,예견,무슨 일을 하기에 앞서 만반의 준비를 한다.
32,합리화,일이 잘못되었을 때 어쩔 수 없었다고 생각하는 경우가 많다.
33,해리,가끔 나 자신이 변한 것처럼 느껴질 때가 있다.
34,신체화,기분이 우울해지면 가슴이 답답해진다.
35,승화,기분이 울적할 때는 노래를 하면서 마음을 달랜다.
36,행동화,일이 잘 안되면 다른 사람에게 신경질을 부리는 경우가 있다.
37,이타주의,어려운 사람을 돕는 것이 나의 기쁨 가운데 하나이다.
38,퇴행,스트레스를 받으면 음식을 지나치게 먹는 경향이 있다.
39,유머,불안한 일이 있을 때 농담으로 이를 해소하곤 한다.
40,회피,어려운 문제가 생기면 문제 해결을 피하는 편이다.
41,허세,때로는 유식한 체하는 게 필요하다고 생각한다.
42,반동형성,나는 관심 있는 사람에게 오히려 냉정하게 대할 때가 있다.
43,동일시,남들이 좋다는 것은 일단 해 보는 편이다.
44,수동공격,누가 일을 재촉하면 일부러 꾸물거릴 때가 있다.
45,투사,내가 불행하게 된 것은 배우자(부모)를 잘못 만났기 때문이다.
46,전치,어렸을 때 밤낮으로 끼고 다니던 인형이나 장난감이 있었다.
47,부정,나는 누구의 도움도 필요로 하지 않는 사람이다.
48,통제,다른 사람들이 하는 일을 바로잡아주고 싶은 경우가 자주 있다.
49,억제,고생 끝에 낙이 있다고 나는 늘 견디고 인내한다.
50,왜곡,내 가족들은 특별하게 뛰어난 사람들이다.
51,예견,십리길에 점심 싸들고 가듯 나는 매사에 미리 대비한다.
52,합리화,내가 거짓말했을 때는 그럴만한 이유가 있었기 때문이었다.
53,해리,고통스러운 일이 있으면 기절할 것처럼 정신이 몽롱해지곤 한다.
54,신체화,괴로운 일이 생길 때마다 몸이 아팠던 것 같다.
55,승화,"심심할 때는 연극이나 영화, 미술 감상 등을 한다."
56,행동화,화가 나서 가족에게 폭언하거나 폭력을 쓰는 경우가 있다.
57,이타주의,내가 조금 희생되더라도 남을 돕는 일에 앞장서는 편이다.
58,퇴행,나는 가만히 누워만 있고 남이 다 해주었으면 싶을 때가 있다.
59,유머,몸이 아파 고통스럽더라도 나는 유머를 즐길 수 있다.
60,회피,만나서 할 일이 있더라도 피하고 싶은 사람이 있다.
61,허세,기왕이면 다홍치마라고 겉모양도 매우 중요하다.
62,반동형성,나는 성에 대해 관심이 있으면서도 겉으로는 안 그런 척한다.
63,동일시,내가 모시고 있는 윗사람이 유명해지면 나 자신도 유명해진 듯하다.
64,수동공격,화가 나면 상대방을 은근히 골탕 먹이는 경우가 있다.
65,투사,나와 비슷한 결점을 가진 사람을 보면 괜히 싫어진다.
66,전치,부모로부터 꾸중을 듣고 나서 동생에게 화풀이한 적이 있다.
67,부정,만약 가족 중 누군가 심한 병에 걸린다면 현실처럼 믿기지 않을 것 같다.
68,통제,친구들의 행동을 좋은 방향으로 잡아주려고 한다.
69,억제,남과 다툴 일이 있더라도 일단 기다렸다가 적당한 기회에 이야기한다.
70,왜곡,내가 마음먹기만 한다면 이 세상을 바꾸어 놓을 수 있을 것 같다.
71,예견,앞으로 있을 곤란할 때를 대비하여 미리 저축하는 편이다.
72,합리화,물건을 일단 사고 나면 항상 잘 샀다고 생각한다.
73,해리,스트레스를 받으면 머리가 혼란스러워진다.
74,신체화,별다른 이유 없이 두통이나 편두통이 생겼다가 없어지곤 한다.
